mtx,rows,cols,nnz,rocsparse_vector(ms),alphasparse_vector(ms),alphasparse_scalar(ms),alphasparse_merge(ms),alphasparse_lineenhance(ms),alphasparse_flat1(ms),alphasparse_flat4(ms),alphasparse_flat8(ms)
08blocks.mtx,300,300,592,0.034530024,0.023089374,0.03124835,0.030279007,0.016978805,0.026499552,0.028540436,0.030767632
1138_bus.mtx,1138,1138,4054,0.025192799,0.018130428,0.02523946,0.040340918,0.01561537,0.028355996,0.0314864,0.03434269
12month1.mtx,12471,872622,22624727,3.808440937,2.446771348,60.14295455,2.795886284,16.41944812,3.235231633,1.158932074,0.978838235
130bit.mtx,584,575,6120,0.027053191,0.014848494,0.030969544,0.036837512,0.016525868,0.025454977,0.026108101,0.027245712
145bit.mtx,1002,993,11315,0.035145646,0.015126682,0.04392503,0.038298614,0.016509054,0.026323014,0.026524049,0.027279259
162bit.mtx,3606,3597,37118,0.034052305,0.015369397,0.040294211,0.041458868,0.017743012,0.030126706,0.030599269,0.031775097
176bit.mtx,7441,7431,82270,0.035546311,0.017460698,0.046230971,0.042718433,0.018403837,0.032908151,0.033445707,0.034595477
192bit.mtx,13691,13682,154303,0.036069906,0.021602071,0.048757275,0.044909506,0.020875265,0.036044885,0.036817002,0.038082195
208bit.mtx,24430,24421,299756,0.038643063,0.029140836,0.066270972,0.064361487,0.026857285,0.044769761,0.045766074,0.047735606
2cubes_sphere.mtx,101492,101492,1647264,0.0866063,0.083775952,0.320744491,0.164122552,0.066450453,0.080010515,0.079950515,0.09509891
2D_27628_bjtcai.mtx,27628,27628,442898,0.052789586,0.03302047,0.107287583,0.061632416,0.03156251,0.048434624,0.045643949,0.047800317
2D_54019_highK.mtx,54019,54019,996414,0.130396223,0.115393749,0.657249347,0.104701899,0.139083314,0.117295954,0.073264001,0.068819001
333SP.mtx,3712815,3712815,22217266,1.462109431,1.294090237,3.691532357,2.342584641,1.191990693,1.307607454,1.353977593,1.421403098
3D_28984_Tetra.mtx,28984,28984,599170,0.248274793,0.221786918,1.466210859,0.08033424,0.550506088,0.11738824,0.065605028,0.058720387
3D_51448_3D.mtx,51448,51448,1056610,0.370014733,0.348960847,2.184048699,0.115553734,0.682787123,0.128353899,0.07682175,0.071249955
3Dspectralwave2.mtx,292008,292008,14322744,0.507693063,0.427894628,3.13795884,0.95281591,0.32262131,0.376970866,0.350993574,0.342845957
3Dspectralwave.mtx,680943,680943,33650589,1.126238669,1.008354724,7.47616755,2.19958193,0.777148659,0.858150444,0.792707693,0.788580047
3dtube.mtx,45330,45330,3213618,0.213903041,0.142055785,1.461933908,0.224588007,0.202195459,0.174583651,0.118278433,0.106720214
3elt_dual.mtx,9000,9000,26556,0.020374601,0.014889302,0.01759999,0.043123726,0.016560999,0.030281969,0.033778588,0.037616942
3elt.mtx,4720,4720,27444,0.025904337,0.015144187,0.024042766,0.041862296,0.016831616,0.030343521,0.032370212,0.033840914
494_bus.mtx,494,494,1666,0.023256463,0.016131765,0.019672557,0.031854989,0.015186804,0.024549641,0.028003765,0.031333753
598a.mtx,110971,110971,1483868,0.121066632,0.106197436,0.312420493,0.176695305,0.09310247,0.114609771,0.116089936,0.119321795
662_bus.mtx,662,662,2474,0.021642049,0.016488277,0.020676456,0.032593373,0.015300317,0.025795823,0.028430736,0.031239346
685_bus.mtx,685,685,3249,0.023624795,0.015298519,0.023031446,0.033797982,0.015592568,0.025198548,0.027065414,0.029553424
a0nsdsil.mtx,80016,80016,355034,0.814311239,0.74447464,1.805883565,0.068724773,0.742673599,0.116874598,0.065860702,0.057535944
a2nnsnsl.mtx,80016,80016,347222,0.766040437,0.70685424,1.773255265,0.069004956,0.73994862,0.11624231,0.065186808,0.057304197
a5esindl.mtx,60008,60008,255004,1.355931843,1.251749968,3.310063734,0.064764705,1.085162655,0.115258754,0.060831013,0.051901145
aa01.mtx,823,8904,72965,0.155890965,0.022489292,0.411208264,0.037850316,0.041904743,0.049961381,0.033316188,0.030206109
aa03.mtx,825,8627,70806,0.152861704,0.024658755,0.443631328,0.038040858,0.042099317,0.057376744,0.035021156,0.030638989
aa3.mtx,825,8627,70806,0.153131137,0.024346048,0.444295243,0.037951602,0.041645162,0.057534327,0.034874314,0.03053877
aa4.mtx,426,7195,52121,0.18834434,0.023369402,0.358283955,0.036664147,0.046827292,0.052922726,0.033221641,0.030089499
aa5.mtx,801,8308,65953,0.15227947,0.022386788,0.391992892,0.037531138,0.043036257,0.050040896,0.033071034,0.030284322
aa6.mtx,646,7292,51728,0.122407206,0.022219282,0.33687501,0.037363709,0.039253926,0.049145992,0.033447621,0.030004597
ABACUS_shell_hd.mtx,23412,23412,218484,0.03485926,0.022609512,0.045291247,0.046280443,0.021716706,0.037142551,0.038360976,0.039809523
ABACUS_shell_ld.mtx,23412,23412,218484,0.034894917,0.0225976,0.045069133,0.0462739,0.021748682,0.037010893,0.041041493,0.040162341
ABACUS_shell_md.mtx,23412,23412,218484,0.03489342,0.0225768,0.044975285,0.046332223,0.021929056,0.037106305,0.038605618,0.039783493
ABACUS_shell_ud.mtx,23412,23412,218484,0.03494567,0.022605774,0.044940548,0.046276625,0.021814611,0.037039059,0.038689219,0.040214061
abb313.mtx,313,176,1557,0.022191658,0.014836131,0.017942542,0.030818562,0.014861408,0.02408185,0.026382899,0.028837873
abtaha1.mtx,14596,209,51307,0.020070664,0.015573943,0.020870651,0.043358114,0.017150452,0.032487435,0.037626013,0.044033427
abtaha2.mtx,37932,331,137228,0.022785824,0.019026087,0.027943142,0.0478844,0.020771741,0.03703085,0.04287756,0.050237619
add20.mtx,2395,2395,17319,0.04506999,0.033097478,0.099829381,0.041966684,0.031964372,0.036282505,0.032437292,0.035101089
add32.mtx,4960,4960,23884,0.029807457,0.018959129,0.050982497,0.042128509,0.017765771,0.031373105,0.033141106,0.035735847
adder_dcop_01.mtx,1813,1813,11156,0.174991961,0.153729554,0.429622213,0.040790881,0.10877323,0.090907609,0.045253109,0.036592466
adder_dcop_02.mtx,1813,1813,11246,0.174791536,0.153700021,0.43000803,0.040803813,0.10823817,0.097264806,0.046562082,0.037489666
adder_dcop_03.mtx,1813,1813,11148,0.174965275,0.153723111,0.429305863,0.04086338,0.108380323,0.090553532,0.044714607,0.036720154
adder_dcop_04.mtx,1813,1813,11107,0.173885136,0.153842957,0.433215672,0.040576851,0.108302862,0.087311289,0.043817793,0.036126669
adder_dcop_05.mtx,1813,1813,11097,0.172947447,0.153016692,0.427745442,0.040686654,0.108373903,0.086680414,0.043810404,0.036032379
adder_dcop_06.mtx,1813,1813,11224,0.173554038,0.15282288,0.429832456,0.040708998,0.10841145,0.096146516,0.04613851,0.037479672
adder_dcop_07.mtx,1813,1813,11226,0.173716585,0.153167104,0.431404196,0.040616006,0.10857129,0.09583159,0.04610996,0.037366752
adder_dcop_08.mtx,1813,1813,11242,0.174011299,0.15301796,0.428781204,0.040811585,0.108262712,0.097087882,0.046455985,0.037524805
adder_dcop_09.mtx,1813,1813,11239,0.172772133,0.152994827,0.428299226,0.040889684,0.108429086,0.096932637,0.046253979,0.037387375
