filename,cow,col,nnz,alpha_mv_time_gather4[ms],mkl_mv_time_gather4[ms],alpha_mv_time_plain[ms],mkl_mv_time_plain[ms],alpha_mv_time_shuffle[ms],mkl_mv_time_shuffle[ms],alpha_mv_time_sse[ms],mkl_mv_time_sse[ms],alpha_mv_time_vgather[ms],mkl_mv_time_vgather[ms]
08blocks.mtx,300,300,592,0.002575,0.001609,0.00253,0.001565,0.00214,0.001728,0.002075,0.001465,0.002572,0.001654
1138_bus.mtx,1140,1140,4054,0.009893,0.008482,0.0081,0.00999,0.007301,0.009918,0.007282,0.00842,0.009755,0.009947
12month1.mtx,12472,872624,22624727,45.013179,36.554005,25.410607,31.420635,23.236203,33.600453,32.551563,25.571161,43.350935,37.244282
130bit.mtx,584,576,6120,0.013427,0.00958,0.008297,0.009111,0.007105,0.009534,0.006871,0.007527,0.012788,0.006974
145bit.mtx,1004,996,11315,0.023829,0.018886,0.012609,0.012682,0.01243,0.012691,0.011762,0.013124,0.023935,0.01693
162bit.mtx,3608,3600,37118,0.134889,0.046614,0.050759,0.045821,0.044567,0.046647,0.043198,0.04726,0.082886,0.067952
176bit.mtx,7444,7432,82270,0.192208,0.109262,0.109787,0.114582,0.108797,0.110567,0.103061,0.109219,0.197538,0.109676
192bit.mtx,13692,13684,154303,0.389575,0.218273,0.22138,0.223717,0.227421,0.21849,0.2087,0.217504,0.39257,0.218843
208bit.mtx,24432,24424,299756,0.751139,0.413026,0.432423,0.423735,0.425546,0.413411,0.410032,0.416857,0.758683,0.425506
2cubes_sphere.mtx,101492,101492,1647264,3.682514,1.824436,1.929867,1.896535,1.839953,1.873244,2.210707,1.850683,3.824445,1.883354
2D_27628_bjtcai.mtx,27628,27628,442898,0.779555,0.39582,0.398167,0.378552,0.394045,0.375563,0.503101,0.522701,0.806145,0.376161
2D_54019_highK.mtx,54020,54020,996414,1.817071,0.828952,1.191434,0.836848,0.828738,0.854503,1.528722,1.433874,1.846083,0.828298
333SP.mtx,3712816,3712816,22217266,170.466742,123.010386,127.005822,153.196314,108.900304,101.054453,131.263573,232.005217,145.502003,160.470429
3D_28984_Tetra.mtx,28984,28984,599170,1.088498,0.692473,0.507611,0.694125,0.469948,0.692105,0.807269,1.042941,1.114418,0.691942
3D_51448_3D.mtx,51448,51448,1056610,1.953574,0.867322,0.897233,0.851464,0.846005,0.827482,1.414278,1.591276,1.997071,0.835355
3Dspectralwave2.mtx,292008,292008,14322744,25.708378,12.433976,11.149912,11.819724,10.507454,15.386339,19.479393,19.825472,25.911759,14.808931
3Dspectralwave.mtx,680944,680944,33650589,67.482346,35.966029,42.995328,32.02238,24.637885,35.617898,49.519165,26.885111,73.787338,38.644154
3dtube.mtx,45332,45332,3213618,5.676608,2.327677,2.493154,2.400565,2.072005,3.609926,2.599622,2.216397,5.687174,2.309168
3elt_dual.mtx,9000,9000,26556,0.039226,0.040626,0.044572,0.053174,0.039038,0.038026,0.038207,0.03714,0.03812,0.054379
3elt.mtx,4720,4720,27444,0.059488,0.050236,0.039226,0.050209,0.04099,0.051245,0.03933,0.03642,0.062312,0.037647
494_bus.mtx,496,496,1666,0.004241,0.003138,0.007947,0.004018,0.003582,0.016781,0.003449,0.003038,0.004346,0.00314
598a.mtx,110972,110972,1483868,3.858087,2.493753,2.522658,2.339447,2.274968,4.098373,2.234887,2.271717,3.805689,2.342611
