mtx,rows,cols,nnz,alpha_1(ms),alpha_2(ms),alpha_3(ms),alpha_4(ms),alpha_5(ms),cu_1(ms),cu_2(ms),cu_3(ms)
08blocks.mtx,300,300,592,0.0234564,0.150386,0.0754255,0.0335526,0.0489768,0.0418886,0.0406086,0.0410727
1138_bus.mtx,1138,1138,4054,0.0261124,0.0982094,0.0751692,0.0339525,0.0465767,0.0325125,0.0321262,0.0320964
12month1.mtx,12471,872622,22624727,28.4109,126.692,125.852,21.201,186.854,23.8767,19.4343,19.4593
130bit.mtx,584,575,6120,0.0226721,0.0604168,0.059169,0.0377767,0.0515527,0.0298849,0.0294246,0.0294885
145bit.mtx,1002,993,11315,0.0246242,0.060385,0.060577,0.0389607,0.0661132,0.0312804,0.0304538,0.0307044
162bit.mtx,3606,3597,37118,0.0471528,0.075889,0.073201,0.0496489,0.156978,0.0402723,0.0404164,0.0404488
176bit.mtx,7441,7431,82270,0.0753109,0.0995848,0.0984812,0.0744971,0.316581,0.067105,0.067729,0.068193
192bit.mtx,13691,13682,154303,0.126145,0.177939,0.171757,0.115608,0.590233,0.106946,0.107806,0.107825
208bit.mtx,24430,24421,299756,0.228804,0.275476,0.26777,0.181315,1.15293,0.187706,0.184547,0.185218
2cubes_sphere.mtx,101492,101492,1647264,0.843472,1.20243,1.19589,0.806795,5.45594,1.02417,0.812381,0.812717
2D_27628_bjtcai.mtx,27628,27628,442898,0.233571,0.360632,0.324532,0.214856,1.38788,0.288611,0.193059,0.192657
2D_54019_highK.mtx,54019,54019,996414,0.757276,0.709707,0.670621,0.443671,2.92977,2.42583,1.02341,1.01939
3D_28984_Tetra.mtx,28984,28984,599170,1.18725,0.44073,0.43473,0.49873,1.84132,5.73793,2.04184,2.04574
3D_51448_3D.mtx,51448,51448,1056610,1.8499,0.737771,0.724939,0.779724,3.16647,8.80985,3.11928,3.13726
3Dspectralwave2.mtx,292008,292008,14322744,5.92592,8.02109,7.99106,5.90661,57.6357,9.85558,6.01167,6.0105
3Dspectralwave.mtx,680943,680943,33650589,13.9298,18.8153,18.8644,13.8368,135.832,23.2041,14.1326,14.134
3dtube.mtx,45330,45330,3213618,1.2297,1.80562,1.79586,0.947119,12.1219,1.45294,1.2779,1.27599
3elt_dual.mtx,9000,9000,26556,0.0860175,0.152962,0.11293,0.0569923,0.179907,0.0641763,0.0614567,0.0619173
3elt.mtx,4720,4720,27444,0.0536009,0.0979215,0.0806411,0.049921,0.131298,0.0417447,0.0414884,0.0426807
494_bus.mtx,494,494,1666,0.0203363,0.0980015,0.0724011,0.0312965,0.0434247,0.0284484,0.0281284,0.0279649
598a.mtx,110971,110971,1483868,1.29789,1.57069,1.55477,1.1997,6.03333,1.2873,1.29507,1.29304
662_bus.mtx,662,662,2474,0.0224358,0.0973452,0.0741769,0.0321924,0.0431846,0.0288005,0.028427,0.0285925
685_bus.mtx,685,685,3249,0.022704,0.0855527,0.0718086,0.0326722,0.0428486,0.0291522,0.0292643,0.0290562
a0nsdsil.mtx,80016,80016,355034,1.81815,0.793364,0.823957,0.733943,2.0614,5.40844,5.04675,5.05713
a2nnsnsl.mtx,80016,80016,347222,1.81178,0.784826,0.82001,0.723733,2.026,5.38558,5.02253,5.04268
a5esindl.mtx,60008,60008,255004,2.74453,0.684058,0.660774,0.954579,1.48486,10.3962,9.74593,9.74638
aa01.mtx,823,8904,72965,0.0900811,0.078865,0.078097,0.182258,0.408965,0.0801458,0.0617446,0.0623685
aa03.mtx,825,8627,70806,0.107757,0.088669,0.079265,0.227171,0.399462,0.0946891,0.0672807,0.0676808
aa3.mtx,825,8627,70806,0.108305,0.0886731,0.0790411,0.227779,0.399077,0.0946734,0.067137,0.0674409
aa4.mtx,426,7195,52121,0.0918572,0.0668328,0.0673449,0.248563,0.32818,0.078513,0.0548806,0.0542566
aa5.mtx,801,8308,65953,0.0890571,0.086129,0.0786407,0.183538,0.38546,0.076401,0.0575686,0.0580967
aa6.mtx,646,7292,51728,0.0807848,0.0758088,0.0700009,0.159394,0.314148,0.0717769,0.0518406,0.0521287
ABACUS_shell_hd.mtx,23412,23412,218484,0.192242,0.251651,0.240658,0.145615,0.770727,0.170446,0.160843,0.160706
ABACUS_shell_ld.mtx,23412,23412,218484,0.192706,0.252588,0.241394,0.14542,0.770733,0.169515,0.160738,0.159966
ABACUS_shell_md.mtx,23412,23412,218484,0.192999,0.251987,0.240389,0.145714,0.770408,0.170307,0.159905,0.160466
ABACUS_shell_ud.mtx,23412,23412,218484,0.192719,0.251891,0.241059,0.145758,0.770314,0.17187,0.160539,0.161235
abb313.mtx,313,176,1557,0.0195912,0.080865,0.067393,0.0295365,0.0407527,0.0232324,0.0231364,0.0231522
abtaha1.mtx,14596,209,51307,0.123953,0.236083,0.142492,0.0644502,0.256899,0.0747997,0.0718247,0.07187
abtaha2.mtx,37932,331,137228,0.285491,0.471992,0.286646,0.11904,0.605975,0.146475,0.141441,0.140977
add20.mtx,2395,2395,17319,0.0454885,0.0980973,0.0767859,0.0540064,0.107457,0.0944012,0.0912494,0.0909774
add32.mtx,4960,4960,23884,0.0542406,0.111794,0.0868013,0.0476967,0.13349,0.0553925,0.0533289,0.0532968
adder_dcop_01.mtx,1813,1813,11156,0.233011,0.0892654,0.073217,0.0968173,0.0922854,0.777755,0.72689,0.723962
adder_dcop_02.mtx,1813,1813,11246,0.234243,0.0890734,0.0766411,0.0960973,0.0919532,0.772859,0.724474,0.72273
adder_dcop_03.mtx,1813,1813,11148,0.237587,0.0892013,0.076417,0.0968653,0.0921933,0.774234,0.726186,0.72257
adder_dcop_04.mtx,1813,1813,11107,0.234387,0.0952973,0.074401,0.0958412,0.092385,0.778106,0.725434,0.724778
adder_dcop_05.mtx,1813,1813,11097,0.235299,0.0896013,0.073857,0.0966093,0.0921773,0.779194,0.72641,0.721097
adder_dcop_06.mtx,1813,1813,11224,0.234403,0.0869932,0.075601,0.0960811,0.0919691,0.777066,0.724361,0.724506
adder_dcop_07.mtx,1813,1813,11226,0.234867,0.0898412,0.0736008,0.0962501,0.0914733,0.777179,0.724169,0.723369
adder_dcop_08.mtx,1813,1813,11242,0.234595,0.0893291,0.074529,0.0970892,0.0917772,0.775562,0.725465,0.723225
adder_dcop_09.mtx,1813,1813,11239,0.235523,0.0887691,0.0755749,0.0965664,0.091761,0.777945,0.727897,0.721833
adder_dcop_10.mtx,1813,1813,11232,0.234259,0.0904332,0.076913,0.0966894,0.0916652,0.776026,0.727259,0.722602
adder_dcop_11.mtx,1813,1813,11243,0.237971,0.0894252,0.075409,0.0966413,0.091873,0.781258,0.723273,0.719898
adder_dcop_12.mtx,1813,1813,11246,0.236371,0.0885132,0.075073,0.0967052,0.0921292,0.772586,0.72321,0.724746
adder_dcop_13.mtx,1813,1813,11245,0.234675,0.0886573,0.074161,0.0961294,0.092044,0.775546,0.723226,0.725787
adder_dcop_14.mtx,1813,1813,11246,0.235219,0.0890571,0.074577,0.0966574,0.0920172,0.775002,0.723626,0.724874
adder_dcop_15.mtx,1813,1813,11246,0.235507,0.089521,0.075073,0.0956812,0.0919213,0.780779,0.725658,0.72745
adder_dcop_16.mtx,1813,1813,11246,0.232659,0.0888173,0.074529,0.0960332,0.0917613,0.774938,0.72593,0.724746
adder_dcop_17.mtx,1813,1813,11246,0.235875,0.089169,0.075729,0.0964491,0.0921132,0.779627,0.723801,0.724762
adder_dcop_18.mtx,1813,1813,11246,0.233939,0.0887727,0.074989,0.0969774,0.0919533,0.776442,0.725337,0.726474
adder_dcop_19.mtx,1813,1813,11245,0.233427,0.0882735,0.075425,0.0960014,0.0920974,0.776459,0.723514,0.725594
adder_dcop_20.mtx,1813,1813,11246,0.234387,0.0892652,0.0750891,0.0962413,0.0924493,0.777643,0.72569,0.724251
adder_dcop_21.mtx,1813,1813,11246,0.232899,0.0891852,0.074641,0.0971055,0.091873,0.778347,0.726378,0.724698
adder_dcop_22.mtx,1813,1813,11246,0.234403,0.0893133,0.074465,0.0963852,0.0920012,0.778027,0.723258,0.723258
adder_dcop_23.mtx,1813,1813,11246,0.233875,0.0885612,0.0756971,0.0960332,0.0922731,0.774395,0.723498,0.72633
adder_dcop_24.mtx,1813,1813,11246,0.236963,0.0901934,0.076561,0.0961773,0.0920971,0.777867,0.722874,0.72401
adder_dcop_25.mtx,1813,1813,11246,0.233635,0.0896173,0.074049,0.0964974,0.092081,0.776716,0.723417,0.721002
adder_dcop_26.mtx,1813,1813,11246,0.235042,0.0892554,0.075553,0.0968174,0.0919053,0.775978,0.725609,0.724409
adder_dcop_27.mtx,1813,1813,11246,0.236339,0.0894251,0.074385,0.0966573,0.0919052,0.77441,0.725994,0.725306
adder_dcop_28.mtx,1813,1813,11246,0.233171,0.0896492,0.076481,0.0967212,0.0923051,0.777562,0.723401,0.723738
