mtx,rows,cols,nnz,alpha_1(ms),alpha_2(ms),alpha_3(ms),alpha_4(ms),alpha_5(ms),cu_1(ms),cu_2(ms),cu_3(ms)
08blocks.mtx,300,300,592,0.0183292,0.0420164,0.0351203,0.0374563,0.0384965,0.0168179,0.0173692,0.01776
1138_bus.mtx,1138,1138,4054,0.0163207,0.0412486,0.0370885,0.0307526,0.0338267,0.0153957,0.0157003,0.0156272
12month1.mtx,12471,872622,22624727,12.2035,407.751,400.405,25.6335,8.47522,15.5429,13.0551,13.0309
130bit.mtx,584,575,6120,0.0158579,0.0368644,0.0355682,0.0345247,0.0303522,0.0148949,0.0151111,0.01508
145bit.mtx,1002,993,11315,0.0159468,0.0378242,0.0362883,0.0356804,0.0311842,0.0151644,0.0152534,0.0151822
162bit.mtx,3606,3597,37118,0.017298,0.0420802,0.0395363,0.0367484,0.0335193,0.0158223,0.0159468,0.0159824
176bit.mtx,7441,7431,82270,0.0190581,0.0456326,0.0436006,0.0408327,0.0363561,0.0179203,0.0185603,0.0181692
192bit.mtx,13691,13682,154303,0.0229122,0.0575526,0.0548807,0.0451867,0.0455869,0.0237604,0.0244448,0.0245603
208bit.mtx,24430,24421,299756,0.030976,0.0760326,0.0724168,0.0571917,0.0621123,0.032016,0.0312359,0.0312963
2cubes_sphere.mtx,101492,101492,1647264,0.0942728,0.228392,0.238526,0.153864,0.212341,0.0985606,0.0992486,0.0993127
2D_27628_bjtcai.mtx,27628,27628,442898,0.0388645,0.0880899,0.0812454,0.076849,0.076433,0.0415201,0.0401601,0.0407845
2D_54019_highK.mtx,54019,54019,996414,0.237795,0.241003,0.145144,0.203202,0.150242,0.289571,0.236803,0.236179
333SP.mtx,3712815,3712815,22217266,1.89547,4.56644,4.40079,2.3448,3.32182,1.95696,1.91872,1.92268
3D_28984_Tetra.mtx,28984,28984,599170,0.605,0.107822,0.109137,0.211842,0.11239,0.723017,0.567047,0.568375
3D_51448_3D.mtx,51448,51448,1056610,0.895913,0.170722,0.171458,0.245411,0.157074,1.05579,0.838089,0.837289
3Dspectralwave2.mtx,292008,292008,14322744,0.722215,2.10439,2.10679,1.03743,1.98407,0.742791,0.709703,0.709909
3Dspectralwave.mtx,680943,680943,33650589,1.65925,4.87497,4.93834,2.37998,4.74168,1.69595,1.61851,1.61939
3dtube.mtx,45330,45330,3213618,0.450488,0.980435,0.988107,0.216893,0.475689,0.536716,0.458475,0.45929
3elt_dual.mtx,9000,9000,26556,0.0172267,0.0473765,0.0414405,0.0318883,0.037041,0.0158003,0.0157203,0.0157803
3elt.mtx,4720,4720,27444,0.0166709,0.0445693,0.0411383,0.0325529,0.0351697,0.015449,0.0156401,0.0157138
494_bus.mtx,494,494,1666,0.0156271,0.040289,0.0365609,0.0307529,0.0328969,0.0146499,0.0148803,0.0148447
598a.mtx,110971,110971,1483868,0.111707,0.239796,0.232129,0.157834,0.196466,0.115292,0.113539,0.113426
662_bus.mtx,662,662,2474,0.015609,0.0402851,0.0365766,0.0303524,0.0325126,0.0145423,0.0148622,0.0147558
685_bus.mtx,685,685,3249,0.015769,0.0400166,0.0363522,0.0309764,0.0318049,0.0146669,0.0148269,0.014809
a0nsdsil.mtx,80016,80016,355034,0.843853,0.772274,0.786235,0.130205,0.1085,0.728469,0.769298,0.77133
a2nnsnsl.mtx,80016,80016,347222,0.826275,0.79691,0.7889,0.131186,0.107458,0.72509,0.77557,0.768306
a5esindl.mtx,60008,60008,255004,1.33972,1.02194,0.992617,0.210457,0.0903481,1.17376,1.27173,1.27637
aa01.mtx,823,8904,72965,0.0669772,0.055281,0.056353,0.165827,0.051553,0.0795373,0.0719854,0.072289
aa03.mtx,825,8627,70806,0.0802731,0.059425,0.059473,0.191795,0.0521768,0.0975056,0.0859853,0.0860975
aa3.mtx,825,8627,70806,0.0794905,0.059603,0.0578283,0.193411,0.0521609,0.0970733,0.0861297,0.0859851
aa4.mtx,426,7195,52121,0.074497,0.0605342,0.0609929,0.211299,0.0512488,0.0877772,0.0804971,0.0806251
aa5.mtx,801,8308,65953,0.0655692,0.059569,0.057569,0.198403,0.052161,0.07817,0.071697,0.071745
aa6.mtx,646,7292,51728,0.065313,0.053825,0.0530852,0.162515,0.051457,0.0768332,0.0697612,0.069345
ABACUS_shell_hd.mtx,23412,23412,218484,0.0269158,0.0684015,0.061793,0.0512969,0.0531609,0.0276627,0.0267027,0.0266484
ABACUS_shell_ld.mtx,23412,23412,218484,0.0272359,0.0681772,0.0621609,0.0515048,,0.0276276,0.026667,0.261924
ABACUS_shell_md.mtx,23412,23412,218484,0.0269413,0.0685611,0.063265,0.0521836,0.248377,0.0279003,0.0268201,0.0272804
ABACUS_shell_ud.mtx,23412,23412,218484,0.0272891,0.068497,0.0613877,0.0512808,0.0531388,0.0297205,0.0270805,0.0270405
abb313.mtx,313,176,1557,0.014578,0.0377606,0.0351414,0.0276324,0.0304324,0.0136357,0.0138668,0.0139023
abtaha1.mtx,14596,209,51307,0.0185249,0.0454569,0.0436169,0.0345449,0.0407206,0.0187204,0.0186491,0.0186137
abtaha2.mtx,37932,331,137228,0.0250141,0.0543829,0.061217,0.0427206,0.0502728,0.026063,0.0253203,0.0253502
adaptive.mtx,6815744,6815744,27248640,2.35181,6.73879,9.03263,3.14557,4.40488,2.72985,2.56731,2.5668
add20.mtx,2395,2395,17319,0.0301287,0.0430567,0.0392485,0.066417,0.0411686,0.0281068,0.0291847,0.0291206
add32.mtx,4960,4960,23884,0.0186804,0.0446407,0.0406407,0.0368361,0.0363686,0.0172802,0.0177202,0.0179844
adder_dcop_01.mtx,1813,1813,11156,0.166307,0.0905133,0.0907374,0.059857,0.054081,0.158482,0.170979,0.170819
adder_dcop_02.mtx,1813,1813,11246,0.166691,0.0904653,0.0901524,0.0594301,0.0532968,0.157811,0.170851,0.170611
adder_dcop_03.mtx,1813,1813,11148,0.166978,0.0902213,0.0911213,0.0597449,0.0534569,0.158754,0.170946,0.170195
adder_dcop_04.mtx,1813,1813,11107,0.166899,0.0896973,0.0909136,0.0597288,0.0533343,0.158098,0.17053,0.171219
adder_dcop_05.mtx,1813,1813,11097,0.167011,0.0905295,0.0912653,0.0599049,0.0532168,0.158323,0.17061,0.170691
adder_dcop_06.mtx,1813,1813,11224,0.167139,0.0920335,0.0932175,0.059889,0.0532487,0.158738,0.170065,0.170146
adder_dcop_07.mtx,1813,1813,11226,0.16701,0.0934253,0.0931212,0.059889,0.0531688,0.158834,0.170179,0.170562
adder_dcop_08.mtx,1813,1813,11242,0.167074,0.0904173,0.0908172,0.0597288,0.0531527,0.158418,0.170115,0.170995
adder_dcop_09.mtx,1813,1813,11239,0.167105,0.0908627,0.0912963,0.0598084,0.0532161,0.158849,0.170113,0.169937
adder_dcop_10.mtx,1813,1813,11232,0.166467,0.0906892,0.0912492,0.0596169,0.0533928,0.157953,0.170152,0.170145
adder_dcop_11.mtx,1813,1813,11243,0.167122,0.0900172,0.0914252,0.0595209,0.0533129,0.158114,0.17077,0.171139
adder_dcop_12.mtx,1813,1813,11246,0.16645,0.0920814,0.0971212,0.0594887,0.0532807,0.15837,0.170652,0.170355
adder_dcop_13.mtx,1813,1813,11245,0.166626,0.0899373,0.090817,0.0594888,0.0532005,0.158786,0.170562,0.170226
adder_dcop_14.mtx,1813,1813,11246,0.16717,0.0899294,0.0925629,0.0595054,0.0533607,0.15813,0.170002,0.170034
adder_dcop_15.mtx,1813,1813,11246,0.167007,0.0916332,0.0925615,0.0592969,0.0534248,0.157986,0.170562,0.170509
adder_dcop_16.mtx,1813,1813,11246,0.166482,0.0905969,0.0890678,0.0593288,0.0532649,0.15949,0.170114,0.169955
adder_dcop_17.mtx,1813,1813,11246,0.167411,0.0907053,0.0908971,0.0594409,0.0532007,0.159282,0.170003,0.170194
adder_dcop_18.mtx,1813,1813,11246,0.167219,0.089957,0.0896811,0.0594249,0.0533448,0.158323,0.170467,0.170003
adder_dcop_19.mtx,1813,1813,11245,0.166834,0.0893934,0.0917933,0.0592808,0.0532328,0.158002,0.171027,0.170947
adder_dcop_20.mtx,1813,1813,11246,0.166738,0.0894253,0.0888654,0.0594248,0.0532271,0.158466,0.171027,0.170642
adder_dcop_21.mtx,1813,1813,11246,0.167091,0.0894093,0.0902573,0.0593288,0.0533288,0.158303,0.170339,0.169858
adder_dcop_22.mtx,1813,1813,11246,0.167651,0.0892332,0.0883373,0.0595689,0.0534729,0.158034,0.169987,0.171571
adder_dcop_23.mtx,1813,1813,11246,0.167058,0.0900494,0.0886411,0.0595208,0.0533285,0.157585,0.170323,0.171346
adder_dcop_24.mtx,1813,1813,11246,0.166674,0.0910577,0.0890253,0.0593769,0.0533288,0.158642,0.171234,0.170307
adder_dcop_25.mtx,1813,1813,11246,0.16717,0.0912971,0.0883695,0.0595048,0.0533926,0.158386,0.170466,0.170099
adder_dcop_26.mtx,1813,1813,11246,0.167554,0.0904651,0.0907851,0.0595687,0.0532806,0.158338,0.170546,0.170866
adder_dcop_27.mtx,1813,1813,11246,0.167234,0.0911822,0.0903759,0.0594431,0.0533859,0.158546,0.16981,0.171026
adder_dcop_28.mtx,1813,1813,11246,0.166819,0.0909172,0.0906327,0.059361,0.0533343,0.15861,0.169986,0.170371
adder_dcop_29.mtx,1813,1813,11246,0.166883,0.0893171,0.0887215,0.059393,0.0533128,0.158099,0.171043,0.170387
adder_dcop_30.mtx,1813,1813,11246,0.167379,0.0896336,0.0891216,0.0594091,0.0533929,0.158339,0.170776,0.170803
adder_dcop_31.mtx,1813,1813,11246,0.167315,0.0895054,0.0887376,0.0593449,0.053217,0.158707,0.170003,0.170099
adder_dcop_32.mtx,1813,1813,11246,0.16741,0.0898254,0.0885702,0.059473,0.0532969,0.158435,0.170675,0.170531
adder_dcop_33.mtx,1813,1813,11246,0.166371,0.0891924,0.0881613,0.0595529,0.0534408,0.158206,0.170819,0.171155
adder_dcop_34.mtx,1813,1813,11246,0.166547,0.0910095,0.0905615,0.0593129,0.0535298,0.158322,0.170115,0.171283
