mtx,rows,cols,nnz,rocsparse_vector(ms),alphasparse_vector(ms),alphasparse_scalar(ms),alphasparse_merge(ms),alphasparse_lineenhance(ms),alphasparse_flat1(ms),alphasparse_flat4(ms),alphasparse_flat8(ms)
08blocks.mtx,300,300,592,0.030974493,0.020811362,0.025930225,0.028757408,0.017259978,0.025773869,0.028120176,0.030359753
1138_bus.mtx,1138,1138,4054,0.024182556,0.01749095,0.021885536,0.036210331,0.015797801,0.026142274,0.029147015,0.031985987
12month1.mtx,12471,872622,22624727,3.568304119,2.110671221,51.30800596,2.0303704,14.82263852,1.649160775,0.765947542,0.74787943
130bit.mtx,584,575,6120,0.026553453,0.014423961,0.025969342,0.034994125,0.016055891,0.025031699,0.025820061,0.026570169
145bit.mtx,1002,993,11315,0.033675746,0.014683754,0.03468465,0.036234437,0.016505574,0.025950853,0.026534685,0.026949524
162bit.mtx,3606,3597,37118,0.033288089,0.014857128,0.03094091,0.039797613,0.017652105,0.029903979,0.030517456,0.031561677
176bit.mtx,7441,7431,82270,0.034581292,0.01648881,0.034795084,0.040870121,0.018124553,0.032478754,0.033147804,0.033861186
192bit.mtx,13691,13682,154303,0.034843014,0.019218306,0.037124198,0.042419165,0.019586048,0.034588861,0.035279736,0.03655399
208bit.mtx,24430,24421,299756,0.036682035,0.025550709,0.051623552,0.047435492,0.024286738,0.041499429,0.042622529,0.044508658
2cubes_sphere.mtx,101492,101492,1647264,0.070387956,0.074576161,0.287399349,0.108692646,0.058935208,0.066112971,0.067698795,0.074627941
2D_27628_bjtcai.mtx,27628,27628,442898,0.050150744,0.0300715,0.09476453,0.046110342,0.030063703,0.043341297,0.041846953,0.043090566
2D_54019_highK.mtx,54019,54019,996414,0.123545357,0.107666942,0.582720566,0.07133923,0.14321813,0.102995271,0.064337751,0.060617876
333SP.mtx,3712815,3712815,22217266,1.012384139,0.92782963,2.331226525,1.521278957,0.863682254,0.928660853,0.993245369,1.091902817
