mtx,rows,cols,nnz,cusparse_0(ms),cusparse_2(ms),cusparse_3(ms),alphasparse_vector(ms),alphasparse_scalar(ms),alphasparse_merge(ms),alphasparse_lineenhance(ms),alphasparse_flat1(ms),alphasparse_flat4(ms),alphasparse_flat8(ms)
08blocks.mtx,300,300,592,0.018426295,0.018447252,0.019223276,0.010043516,0.012667844,0.015430731,0.008936321,0.015681911,0.017219814,0.018501735
1138_bus.mtx,1138,1138,4054,0.01617966,0.01612015,0.022342489,0.00863515,0.009286855,0.016568884,0.007473155,0.013462959,0.014777149,0.01588169
12month1.mtx,12471,872622,22624727,0.16566912,0.16564096,0.17437312,0.386622399,25.32246888,0.320901119,1.974198377,0.296328321,0.25298976,0.237040639
130bit.mtx,584,575,6120,0.012,0.011939635,0.01709607,0.006221716,0.008189362,0.013287435,0.00621642,0.011002504,0.011161854,0.011537635
145bit.mtx,1002,993,11315,0.012164574,0.012241451,0.017316845,0.006439333,0.009909978,0.013783677,0.006369,0.010990041,0.011121814,0.011652245
162bit.mtx,3606,3597,37118,0.01316008,0.013139394,0.018878063,0.006343724,0.009890286,0.014880646,0.006507116,0.011467876,0.011611102,0.012132571
176bit.mtx,7441,7431,82270,0.01321402,0.013213691,0.019100407,0.00684965,0.010510333,0.014940768,0.007279333,0.012014041,0.012041143,0.012483629
192bit.mtx,13691,13682,154303,0.014518666,0.014538557,0.02055249,0.007732783,0.011092571,0.01536,0.008132949,0.013333551,0.013580606,0.013990204
208bit.mtx,24430,24421,299756,0.024597677,0.024306043,0.02449952,0.015932,0.018972701,0.024208271,0.016203876,0.02367654,0.023517013,0.022431169
2cubes_sphere.mtx,101492,101492,1647264,0.031434667,0.031487319,0.039352533,0.029485899,0.022772245,0.028260245,0.024566531,0.028687515,0.028574707,0.029268898
2D_27628_bjtcai.mtx,27628,27628,442898,0.021415747,0.021492301,0.02210112,0.016264758,0.029174103,0.023570526,0.014814681,0.022598333,0.022354237,0.022491527
2D_54019_highK.mtx,54019,54019,996414,0.023288742,0.023334531,0.030575347,0.021502694,0.167386879,0.022289959,0.021510141,0.025454041,0.022694928,0.022164572
333SP.mtx,3712815,3712815,22217266,0.273558721,0.273415041,0.28902176,0.334665283,0.304958719,0.325968318,0.262632001,0.29881184,0.33739744,0.380262401
3D_28984_Tetra.mtx,28984,28984,599170,0.022511333,0.022617937,0.022972,0.028528,0.55581246,0.024989334,0.055404159,0.026998905,0.023408,0.022958667
3D_51448_3D.mtx,51448,51448,1056610,0.023524948,0.02373551,0.030343837,0.035596606,0.772206952,0.024484571,0.063752,0.02700668,0.023253334,0.022665796
3Dspectralwave2.mtx,292008,292008,14322744,0.1013936,0.10147456,0.11771072,0.23753504,0.881975683,0.14451456,0.11706208,0.17165664,0.16533824,0.16524704
3Dspectralwave.mtx,680943,680943,33650589,0.21429728,0.21447808,0.22941984,0.549993596,1.514409273,0.29264544,0.27004192,0.36942272,0.357707201,0.356165759
3dtube.mtx,45330,45330,3213618,0.037911184,0.038071273,0.051310933,0.041021414,0.38188064,0.035037091,0.034565551,0.043523879,0.039147216,0.0384848
3elt_dual.mtx,9000,9000,26556,0.013702465,0.013726368,0.019978018,0.006099464,0.006387134,0.014578749,0.006220408,0.01185196,0.012903837,0.014712567
3elt.mtx,4720,4720,27444,0.01366367,0.013795627,0.019061226,0.006099416,0.007412425,0.014733001,0.006156174,0.011785769,0.012282668,0.012779666
494_bus.mtx,494,494,1666,0.012529142,0.012462224,0.013034107,0.006595669,0.006607178,0.011350939,0.006175654,0.010734709,0.011669241,0.012684104
598a.mtx,110971,110971,1483868,0.0380848,0.03817501,0.04595365,0.027598368,0.037804606,0.04018176,0.02714505,0.032787394,0.03331808,0.0346016
662_bus.mtx,662,662,2474,0.012712082,0.012679117,0.017650878,0.006432348,0.006762223,0.011103681,0.006175659,0.010824173,0.01163105,0.012705619
685_bus.mtx,685,685,3249,0.012678134,0.012555212,0.017091544,0.006068621,0.007425344,0.01173494,0.006062483,0.010725941,0.011294054,0.012304325
a0nsdsil.mtx,80016,80016,355034,0.02459073,0.024726646,0.0247072,0.07761312,0.628340393,0.024761725,0.070639833,0.027030026,0.023630873,0.025551768
a2nnsnsl.mtx,80016,80016,347222,0.024804298,0.024847213,0.0245852,0.077917438,0.62855224,0.024666286,0.070877667,0.026814145,0.023508129,0.025394983
a5esindl.mtx,60008,60008,255004,0.01827104,0.018366041,0.025934515,0.125539195,1.054018641,0.019185632,0.089673281,0.021138612,0.017512164,0.019146343
aa01.mtx,823,8904,72965,0.012238868,0.012234449,0.018318042,0.007947755,0.098226895,0.01419264,0.01158112,0.012746775,0.01174048,0.011517738
aa03.mtx,825,8627,70806,0.012867232,0.012876206,0.018751671,0.007805539,0.098310057,0.014119757,0.011673667,0.012932289,0.011695192,0.01160256
aa3.mtx,825,8627,70806,0.012932245,0.012935111,0.018834424,0.007828784,0.098381429,0.014307879,0.01183967,0.013121306,0.01175151,0.011525172
aa4.mtx,426,7195,52121,0.011840647,0.011787103,0.016781714,0.008051537,0.082749741,0.013837576,0.012356571,0.012651428,0.01123424,0.010974707
aa5.mtx,801,8308,65953,0.012718367,0.012733714,0.018069981,0.00787266,0.08864448,0.013954586,0.01172996,0.012567919,0.01165952,0.011401373
aa6.mtx,646,7292,51728,0.012153143,0.012123475,0.017161373,0.008075234,0.069588473,0.014092283,0.0105952,0.01270202,0.011399112,0.01113664
ABACUS_shell_hd.mtx,23412,23412,218484,0.021993756,0.022204488,0.021680485,0.013987666,0.01616099,0.024192901,0.014126667,0.020991239,0.020648585,0.02171721
ABACUS_shell_ld.mtx,23412,23412,218484,0.021229419,0.021376,0.02121696,0.013834333,0.016260667,0.024029474,0.014011711,0.020746811,0.020920195,0.020836522
ABACUS_shell_md.mtx,23412,23412,218484,0.021617091,0.021577495,0.02143968,0.013425666,0.015792,0.02151,0.013786062,0.018510689,0.020400988,0.019855135
ABACUS_shell_ud.mtx,23412,23412,218484,0.021692522,0.021214945,0.021528,0.0135296,0.01596866,0.021471256,0.013994334,0.018800263,0.020875268,0.019731532
abb313.mtx,313,176,1557,0.012433768,0.01241503,0.012885979,0.006188284,0.006420552,0.01134137,0.006192665,0.01077367,0.011369777,0.012338097
abtaha1.mtx,14596,209,51307,0.014116949,0.014153144,0.019781226,0.006027217,0.006632,0.014798695,0.006292667,0.011541,0.013267265,0.015988898
abtaha2.mtx,37932,331,137228,0.021812784,0.02169,0.029766129,0.012434804,0.012612948,0.022040743,0.013701278,0.019178333,0.021179051,0.023874309
adaptive.mtx,6815744,6815744,27248640,0.379968961,0.38025024,0.403048962,0.411453439,0.351824002,0.4655008,0.466282559,0.476197437,0.517501438,0.607430722
add20.mtx,2395,2395,17319,0.013615518,0.013632977,0.019058749,0.008491429,0.024197114,0.014255359,0.008198203,0.012113133,0.012569857,0.013695678
add32.mtx,4960,4960,23884,0.013912083,0.013927257,0.019681296,0.007046545,0.010916948,0.014345697,0.006217191,0.011913999,0.012860407,0.013947383
adder_dcop_01.mtx,1813,1813,11156,0.013744163,0.013725411,0.018566397,0.023152818,0.110771858,0.014279753,0.013089956,0.015548443,0.012129601,0.012637386
adder_dcop_02.mtx,1813,1813,11246,0.014027639,0.01396506,0.018539629,0.023260119,0.110775111,0.013909331,0.013070847,0.015955722,0.012212451,0.012588536
adder_dcop_03.mtx,1813,1813,11148,0.013830528,0.013865473,0.018872492,0.023389089,0.110781523,0.014208958,0.013167017,0.015562671,0.012242807,0.012675002
adder_dcop_04.mtx,1813,1813,11107,0.013981736,0.013960322,0.018700936,0.023244474,0.110822865,0.014495998,0.013131636,0.015424643,0.012406306,0.01289894
adder_dcop_05.mtx,1813,1813,11097,0.013840162,0.01383822,0.018745217,0.023189018,0.110881849,0.014492479,0.013149413,0.015405899,0.012214949,0.012854529
adder_dcop_06.mtx,1813,1813,11224,0.013917736,0.013832813,0.018613012,0.023226506,0.110688152,0.013991358,0.013056978,0.015874879,0.012203316,0.0125809
adder_dcop_07.mtx,1813,1813,11226,0.013840976,0.013843263,0.018704155,0.023263019,0.111032535,0.014017291,0.013080082,0.015967025,0.012403796,0.01270268
adder_dcop_08.mtx,1813,1813,11242,0.014126363,0.014107714,0.018944967,0.023299554,0.11082741,0.014316287,0.013146777,0.016241135,0.012495019,0.012760891
adder_dcop_09.mtx,1813,1813,11239,0.014138832,0.01405091,0.018799832,0.023235236,0.110637502,0.013958404,0.013064814,0.015884165,0.012230083,0.012741937
adder_dcop_10.mtx,1813,1813,11232,0.013909331,0.013928813,0.018804684,0.023279191,0.110741382,0.014197118,0.01309658,0.015987269,0.012346181,0.012699798
adder_dcop_11.mtx,1813,1813,11243,0.01402408,0.014017943,0.018833458,0.023204193,0.110774475,0.014125437,0.013085032,0.016008726,0.012303507,0.012643296
adder_dcop_12.mtx,1813,1813,11246,0.014173412,0.014168644,0.018936246,0.02333316,0.110694969,0.014179837,0.01317624,0.016051715,0.012394561,0.012660244
adder_dcop_13.mtx,1813,1813,11245,0.014191173,0.014236736,0.018866247,0.023437899,0.110978426,0.014183359,0.0131284,0.016162914,0.012508767,0.01276963
adder_dcop_14.mtx,1813,1813,11246,0.014096159,0.014081306,0.018936884,0.023333814,0.110695514,0.014186124,0.013164734,0.016141765,0.012351998,0.012686079
adder_dcop_15.mtx,1813,1813,11246,0.014145289,0.014134853,0.018794988,0.0232152,0.11071949,0.014168885,0.013101065,0.016109901,0.012421818,0.012689307
adder_dcop_16.mtx,1813,1813,11246,0.014040888,0.014104892,0.01867475,0.02317382,0.110704776,0.01394263,0.013038221,0.015992241,0.01224113,0.012557387
adder_dcop_17.mtx,1813,1813,11246,0.014206042,0.014174386,0.01886965,0.023345124,0.110737479,0.014158548,0.013161051,0.016147722,0.012471838,0.012738587
adder_dcop_18.mtx,1813,1813,11246,0.014023755,0.013986614,0.018720323,0.023256247,0.110623103,0.014029117,0.013034669,0.01591008,0.012310953,0.012602827
adder_dcop_19.mtx,1813,1813,11245,0.013944243,0.013975593,0.018923952,0.023400733,0.110739081,0.014208323,0.013082122,0.016093438,0.012278721,0.012628248
adder_dcop_20.mtx,1813,1813,11246,0.014142692,0.014083264,0.018894045,0.02331896,0.110830787,0.014312331,0.013116704,0.016061366,0.012289307,0.012713565
adder_dcop_21.mtx,1813,1813,11246,0.014148199,0.014097131,0.018796276,0.023331224,0.110721125,0.014148484,0.013079923,0.016026449,0.012359756,0.012681051
adder_dcop_22.mtx,1813,1813,11246,0.014058449,0.014053495,0.018675712,0.023214218,0.110643782,0.013953278,0.013118709,0.016030379,0.01231104,0.012525387
adder_dcop_23.mtx,1813,1813,11246,0.014070102,0.014159831,0.0186657,0.02329826,0.110800213,0.013963638,0.013078531,0.015988365,0.012298668,0.012549168
adder_dcop_24.mtx,1813,1813,11246,0.014082585,0.014105211,0.018936884,0.023368069,0.110786023,0.014088406,0.013156202,0.0161472,0.012386881,0.012719022
adder_dcop_25.mtx,1813,1813,11246,0.014183834,0.014169537,0.018761047,0.02329826,0.110703686,0.01398691,0.013078303,0.016130258,0.012436042,0.012712164
adder_dcop_26.mtx,1813,1813,11246,0.014033459,0.014018266,0.018550302,0.023361613,0.11077893,0.01403712,0.013031513,0.0159444,0.012186123,0.012601076
adder_dcop_27.mtx,1813,1813,11246,0.014056402,0.014133654,0.01870222,0.02333091,0.110660658,0.01397463,0.013082829,0.016095353,0.012369129,0.012627591
adder_dcop_28.mtx,1813,1813,11246,0.014194611,0.014208986,0.018805328,0.02338036,0.110739659,0.014163202,0.013134866,0.016140607,0.012426341,0.012734057
adder_dcop_29.mtx,1813,1813,11246,0.014058018,0.014083202,0.018731642,0.023265292,0.11067536,0.013968963,0.013078303,0.01599488,0.01238592,0.01255424
adder_dcop_30.mtx,1813,1813,11246,0.014037111,0.014104813,0.018658592,0.023242332,0.110754383,0.013926142,0.01307087,0.015914121,0.012325498,0.012546585
adder_dcop_31.mtx,1813,1813,11246,0.014006952,0.013984649,0.018589382,0.023250429,0.110680261,0.013969779,0.013080562,0.015959187,0.012186182,0.012546669
adder_dcop_32.mtx,1813,1813,11246,0.01401369,0.014067919,0.018583592,0.02327208,0.110627456,0.014009858,0.013076896,0.015935352,0.012209633,0.012591503
adder_dcop_33.mtx,1813,1813,11246,0.014105538,0.014174403,0.018944971,0.02337176,0.110813314,0.014257922,0.0131778,0.016182715,0.012359437,0.012733711
adder_dcop_34.mtx,1813,1813,11246,0.014350547,0.014393857,0.018989581,0.02346473,0.110957086,0.014191038,0.013259431,0.016198402,0.012353918,0.012810991
adder_dcop_35.mtx,1813,1813,11246,0.014158548,0.014172117,0.018840156,0.023311516,0.11070859,0.014151679,0.01308114,0.016043311,0.012289602,0.012819921
adder_dcop_36.mtx,1813,1813,11246,0.014176333,0.014193814,0.018921272,0.023333814,0.110765837,0.014229337,0.013105958,0.016101494,0.012314829,0.012752165
adder_dcop_37.mtx,1813,1813,11246,0.014193957,0.014140443,0.018855113,0.023391351,0.110788206,0.01408359,0.013169636,0.016048325,0.01241891,0.012700765
adder_dcop_38.mtx,1813,1813,11246,0.014087506,0.014120726,0.018656642,0.023170908,0.110621471,0.013996162,0.01309388,0.015983513,0.012278948,0.012567919
adder_dcop_39.mtx,1813,1813,11246,0.014011429,0.014025697,0.018581657,0.02332832,0.110730936,0.014029572,0.013066238,0.015885437,0.01212865,0.012550534
adder_dcop_40.mtx,1813,1813,11246,0.014060084,0.013973875,0.018688653,0.023163796,0.110697693,0.013969596,0.013053385,0.015985774,0.012223355,0.012660786
adder_dcop_41.mtx,1813,1813,11246,0.014084851,0.014072487,0.018718064,0.023187724,0.110692245,0.013991112,0.013106615,0.01591786,0.012326207,0.012560164
adder_dcop_42.mtx,1813,1813,11246,0.014179881,0.014127679,0.018916848,0.023292758,0.110718945,0.014159671,0.013175183,0.016156769,0.012299757,0.01266286
adder_dcop_43.mtx,1813,1813,11246,0.014122987,0.014189901,0.018804684,0.02330019,0.110857554,0.014176637,0.013150063,0.016134783,0.012402749,0.012697216
adder_dcop_44.mtx,1813,1813,11245,0.014179595,0.014228243,0.018868241,0.023302464,0.110864089,0.014156603,0.013105152,0.016109577,0.012491634,0.012734367
adder_dcop_45.mtx,1813,1813,11246,0.014300119,0.014280408,0.018835723,0.023268854,0.110803488,0.014167841,0.01314155,0.016152894,0.012469653,0.012710203
adder_dcop_46.mtx,1813,1813,11246,0.014006202,0.013978721,0.018660481,0.023236521,0.110796392,0.014024079,0.013025981,0.015934697,0.012382367,0.012586669
adder_dcop_47.mtx,1813,1813,11246,0.014050615,0.014098748,0.018650825,0.02333609,0.110770746,0.013988902,0.013106745,0.015980084,0.012169145,0.012626939
adder_dcop_48.mtx,1813,1813,11246,0.014093385,0.014110387,0.018879359,0.023243629,0.110788752,0.014128957,0.013032079,0.016123147,0.012272322,0.0126303
adder_dcop_49.mtx,1813,1813,11246,0.014017629,0.013962988,0.018601697,0.023235561,0.110769655,0.014006717,0.013094788,0.016056642,0.01224113,0.012538828
adder_dcop_50.mtx,1813,1813,11246,0.014091964,0.014084895,0.018930748,0.023334468,0.110818774,0.014263682,0.013177537,0.016179712,0.012356205,0.012663751
adder_dcop_51.mtx,1813,1813,11246,0.01429107,0.014310929,0.019025449,0.023387532,0.110763655,0.014099517,0.013100081,0.016062708,0.012439921,0.012645937
adder_dcop_52.mtx,1813,1813,11246,0.014031349,0.014023511,0.018855429,0.023277258,0.11072494,0.014174064,0.013088981,0.01609503,0.01227604,0.012648725
adder_dcop_53.mtx,1813,1813,11246,0.014113292,0.01415273,0.018625619,0.023223278,0.110672092,0.013954559,0.013022044,0.015910203,0.012230081,0.012638696
adder_dcop_54.mtx,1813,1813,11246,0.013981415,0.014003072,0.018511843,0.023244278,0.110654669,0.013991356,0.013104805,0.015914245,0.01227604,0.012625457
adder_dcop_55.mtx,1813,1813,11246,0.013965901,0.014012083,0.018692195,0.023290829,0.110724395,0.014018563,0.013053741,0.016049275,0.012201466,0.012627591
adder_dcop_56.mtx,1813,1813,11246,0.014036366,0.014074557,0.018841213,0.023285645,0.110760382,0.014096318,0.013134866,0.016035522,0.012309012,0.01272889
adder_dcop_57.mtx,1813,1813,11246,0.014033774,0.014054145,0.018640809,0.02326368,0.110656847,0.013964479,0.013168325,0.015975998,0.012308689,0.012535509
adder_dcop_58.mtx,1813,1813,11246,0.014185694,0.014207029,0.018936246,0.023452766,0.110696058,0.014229121,0.013225376,0.016203315,0.012391112,0.012701059
