Matrix,row,col,nnz,Alphasparse_w_time_buf_s (ms),Alphasparse_w_time_anly_s (ms),Alphasparse_w_time_solv_s (ms),Alphasparse_w_time_totl_s (ms),Alphasparse_wo_time_buf_s (ms),Alphasparse_wo_time_anly_s (ms),Alphasparse_wo_time_solv_s (ms),Alphasparse_wo_time_totl_s (ms),cusparse_time_buf_s (ms),cusparse_time_anly_s (ms),cusparse_time_solv_s (ms),cusparse_time_totl_s (ms),Alphasparse_w_time_buf_d (ms),Alphasparse_w_time_anly_d (ms),Alphasparse_w_time_solv_d(ms),Alphasparse_w_time_totl_d (ms),Alphasparse_wo_time_buf_d (ms),Alphasparse_wo_time_anly_d (ms),Alphasparse_wo_time_solv_d (ms),Alphasparse_wo_time_totl_d (ms),cusparse_time_buf_d (ms),cusparse_time_anly_d (ms),cusparse_time_solv_d (ms),cusparse_time_totl_d (ms)
08blocks.mtx,300,300,884,0.006144,27.5637,0.0168416,27.5867,0.003904,0.011744,0.04152,0.057168,0.006112,71.1977,0.0183424,71.2221,0.007264,25.952,0.02048,25.9797,0.004096,0.008096,0.0385529,0.0507449,0.022432,60.3692,0.0173728,60.409
1138_bus.mtx,1138,1138,4054,0.006176,19.0014,0.0507008,19.0583,0.003456,0.006976,0.0703232,0.0807552,0.005472,24.4885,0.0697209,24.5637,0.007008,27.9854,0.0670496,28.0594,0.003552,0.006688,0.0771168,0.0873568,0.005664,23.2404,0.066016,23.3121
2cubes_sphere.mtx,101492,101492,1647264,0.004224,48.2603,23.9104,72.1749,0.003776,0.008352,40.1597,40.1718,0.004512,172.771,21.963,194.738,0.113024,50.3819,19.7526,70.2475,0.004416,0.00816,46.0299,46.0425,0.003296,128.847,23.0686,151.919
2D_27628_bjtcai.mtx,27628,27628,442898,0.007232,18.9871,0.935357,19.9297,0.002688,0.00736,1.50291,1.51296,0.005568,27.4156,1.21221,28.6334,0.00944,20.2325,1.02913,21.2711,0.002656,0.007936,1.57232,1.58292,0.005952,26.4767,1.27607,27.7588
2D_54019_highK.mtx,54019,54019,996414,0.1672,20.5589,2.66372,23.3898,0.002656,0.0072,2.13621,2.14606,0.006432,36.8812,3.54435,40.432,0.003232,20.4682,1.90671,22.3781,0.002688,0.00832,2.24603,2.25704,0.00608,30.5934,2.35892,32.9584
333SP.mtx,3712815,3712815,25930081,0.199744,86.8537,44.5249,131.578,0.004224,0.009632,48.0557,48.0695,0.006784,186.997,57.9567,244.96,0.259904,83.9472,48.9455,133.153,0.005056,0.009504,53.9916,54.0061,0.00672,228.564,64.7061,293.277
3D_28984_Tetra.mtx,28984,28984,599170,0.007744,19.3515,0.34087,19.7001,0.00272,0.00768,1.53661,1.54701,0.00592,25.0519,0.392413,25.4502,0.009184,20.2691,0.36624,20.6445,0.002752,0.008672,1.59825,1.60968,0.006464,24.2128,0.429238,24.6485
3D_51448_3D.mtx,51448,51448,1056610,0.006784,19.7636,0.56903,20.3394,0.002752,0.008224,2.19402,2.205,0.005632,25.8517,0.615693,26.473,0.168192,20.3348,0.435123,20.9381,0.002656,0.007616,2.18872,2.19899,0.007104,24.3038,0.396138,24.7071
3Dspectralwave2.mtx,292008,292008,14322744,0.085984,36.0002,4.07023,40.1564,0.004448,0.006464,19.6968,19.7077,0.003424,55.0561,3.90127,58.9608,0.159424,35.8891,4.32283,40.3713,0.00384,0.008704,13.3861,13.3987,0.00624,60.4946,4.94936,65.4502
3Dspectralwave.mtx,680943,680943,33650589,0.16896,48.185,5.17136,53.5253,0.004608,0.008512,22.1412,22.1543,0.006592,67.5117,5.18681,72.7051,0.183744,47.2157,5.66045,53.0599,0.003712,0.010656,26.4096,26.4239,0.00688,71.5122,6.11252,77.6316
3dtube.mtx,45330,45330,3213618,0.007328,33.2608,15.705,48.9732,0.002784,0.007488,20.1668,20.1771,0.0056,122.848,16.1488,139.002,0.20768,35.0882,17.3553,52.6512,0.002688,0.007072,23.7224,23.7321,0.0072,123.771,17.4681,141.246
3elt_dual.mtx,9000,9000,35556,0.006432,19.3805,0.62,20.0069,0.002496,0.007584,0.805267,0.815347,0.005216,24.8341,0.813722,25.6531,0.00816,22.8564,0.69248,23.557,0.002656,0.006144,0.836006,0.844806,0.005984,28.3469,0.840592,29.1935
3elt.mtx,4720,4720,32164,0.006432,19.2639,0.799654,20.07,0.002496,0.007936,1.25721,1.26764,0.005312,25.2803,0.969786,26.2554,0.007808,23.6976,0.868566,24.574,0.002496,0.007712,1.27363,1.28383,0.006048,25.4881,1.01467,26.5088
494_bus.mtx,494,494,1666,0.006496,18.7305,0.0238688,18.7609,0.002496,0.007968,0.0320889,0.0425529,0.006144,22.8258,0.032704,22.8646,0.006944,21.4461,0.0254912,21.4785,0.002496,0.00704,0.0355488,0.0450848,0.005568,22.6451,0.028016,22.6787
598a.mtx,110971,110971,1594839,0.002816,19.2217,0.931402,20.1559,0.002688,0.008,3.51551,3.5262,0.006048,27.9684,1.66498,29.6394,0.104576,21.8212,1.29514,23.2209,0.003744,0.008608,5.73131,5.74366,0.002688,26.5626,1.4922,28.0575
662_bus.mtx,662,662,2474,0.006272,18.7532,0.0239552,18.7834,0.002496,0.006816,0.0327104,0.0420224,0.005856,22.8988,0.03172,22.9363,0.006816,24.6896,0.0319168,24.7283,0.0032,0.006816,0.0466464,0.0566624,0.006144,23.0573,0.0286176,23.092
685_bus.mtx,685,685,3249,0.005952,18.6993,0.0477664,18.753,0.002496,0.01088,0.0660928,0.0794688,0.005952,22.8812,0.0557696,22.9429,0.006848,21.5308,0.0602592,21.5979,0.0032,0.00688,0.0917792,0.101859,0.006208,23.0912,0.0576036,23.155
a0nsdsil.mtx,80016,80016,390042,0.004992,18.7793,0.231725,19.016,0.002688,0.00816,1.62629,1.63714,0.005952,24.5127,0.100771,24.6194,0.003008,21.4455,0.278778,21.7273,0.003456,0.00752,2.1251,2.13608,0.003872,25.5404,0.100864,25.6451
a2nnsnsl.mtx,80016,80016,382230,0.008928,18.5419,0.233606,18.7844,0.002816,0.007008,1.61868,1.6285,0.005888,24.1189,0.096592,24.2214,0.00288,24.5696,0.265296,24.8377,0.00336,0.007744,1.69942,1.71053,0.005536,24.1936,0.102387,24.3016
a5esindl.mtx,60008,60008,280008,0.00736,18.6498,0.257344,18.9145,0.002816,0.010752,1.59702,1.61059,0.006112,25.2554,0.0973088,25.3588,0.002752,20.9743,0.211696,21.1888,0.002816,0.00832,1.71996,1.7311,0.00704,24.829,0.0964608,24.9325
ABACUS_shell_hd.mtx,23412,23412,218484,0.15264,20.9865,2.4142,23.5533,0.004544,0.00704,4.24434,4.25592,0.005856,32.6077,2.98573,35.5993,0.009504,21.6083,2.12572,23.7435,0.004416,0.007904,4.65642,4.66874,0.005952,33.2273,3.54381,36.7771
ABACUS_shell_ld.mtx,23412,23412,218484,0.152384,21.5218,2.41508,24.0893,0.004288,0.007616,4.10607,4.11797,0.005568,31.3038,2.40587,33.7152,0.009952,21.7503,2.57014,24.3304,0.004416,0.007872,4.67993,4.69221,0.006592,33.1588,3.54206,36.7075
ABACUS_shell_md.mtx,23412,23412,218484,0.162976,21.894,3.30586,25.3628,0.00432,0.007744,4.11822,4.13028,0.005664,30.9196,2.40802,33.3333,0.00848,22.8132,2.21802,25.0397,0.003552,0.007904,3.57631,3.58776,0.00528,30.6045,2.61892,33.2287
ABACUS_shell_ud.mtx,23412,23412,218484,0.15696,22.1278,3.30243,25.5872,0.003616,0.00832,3.39772,3.40965,0.005696,35.8514,3.96138,39.8184,0.0088,23.5414,2.22164,25.7718,0.003552,0.007456,3.04986,3.06087,0.006144,33.4483,2.61751,36.0719
adaptive.mtx,6815744,6815744,34064384,0.205024,75.6407,27.593,103.439,0.004448,0.00976,15.4575,15.4718,0.00448,64.6074,13.668,78.2799,0.271904,67.4018,29.3289,97.0025,0.004448,0.009152,16.8887,16.9023,0.005056,58.7591,12.1963,70.9604
add20.mtx,2395,2395,17319,0.00656,18.9245,0.197526,19.1286,0.002496,0.006784,0.241674,0.250954,0.005632,24.409,0.23087,24.6455,0.0072,21.6947,0.218778,21.9207,0.002496,0.007296,0.256515,0.266307,0.006432,23.9074,0.238403,24.1523
add32.mtx,4960,4960,23884,0.00688,18.9506,0.0785504,19.036,0.002464,0.007264,0.095328,0.105056,0.00576,22.9771,0.105466,23.0883,0.007936,20.7167,0.0846688,20.8093,0.002496,0.007936,0.0996672,0.110099,0.006144,23.2419,0.10735,23.3554
adder_dcop_01.mtx,1813,1813,11168,0.005856,18.8199,0.0385248,18.8643,0.002464,0.010176,0.428275,0.440915,0.005824,23.1644,0.0322773,23.2025,0.00752,19.8763,0.039392,19.9232,0.002496,0.006944,0.382086,0.391526,0.0064,23.039,0.033284,23.0787
adder_dcop_02.mtx,1813,1813,11258,0.007072,18.8852,0.0437664,18.936,0.00256,0.009888,0.430074,0.442522,0.00576,22.8693,0.0317568,22.9069,0.007968,20.1231,0.0418304,20.1729,0.002496,0.006688,0.381318,0.390502,0.006528,23.1558,0.032744,23.1951
adder_dcop_03.mtx,1813,1813,11160,0.00592,18.8375,0.04984,18.8933,0.002976,0.009824,0.532726,0.545526,0.005984,23.0203,0.0333653,23.0597,0.007328,22.6859,0.0413984,22.7346,0.002496,0.007104,0.374947,0.384547,0.00656,22.6703,0.033488,22.7103
adder_dcop_04.mtx,1813,1813,11119,0.006368,19.2287,0.048976,19.284,0.002912,0.011168,0.492346,0.506426,0.005792,23.798,0.0323378,23.8361,0.007552,20.3851,0.0399072,20.4326,0.002464,0.008128,0.394755,0.405347,0.006304,23.1054,0.032992,23.1447
adder_dcop_05.mtx,1813,1813,11109,0.0064,18.7828,0.0497984,18.8389,0.00304,0.0072,0.481914,0.492154,0.006528,23.573,0.031996,23.6115,0.007488,20.9047,0.0401504,20.9523,0.002496,0.006976,0.390227,0.399699,0.006368,22.8922,0.036872,22.9355
adder_dcop_06.mtx,1813,1813,11236,0.006368,18.8899,0.0489728,18.9453,0.002816,0.010144,0.496826,0.509786,0.005952,23.1945,0.0318578,23.2323,0.00768,20.1241,0.0405632,20.1723,0.002688,0.007488,0.379085,0.389261,0.00576,23.206,0.037024,23.2487
adder_dcop_07.mtx,1813,1813,11238,0.0064,18.9273,0.0427904,18.9765,0.003072,0.011712,0.465677,0.480461,0.005952,23.1203,0.031488,23.1577,0.007808,20.2196,0.0404992,20.2679,0.002816,0.006304,0.442864,0.451984,0.006112,23.1593,0.0368071,23.2022
adder_dcop_08.mtx,1813,1813,11254,0.006688,18.7595,0.04296,18.8091,0.002688,0.010784,0.469517,0.482989,0.005664,23.0511,0.031288,23.0881,0.00688,21.0662,0.0432128,21.1163,0.003072,0.006752,0.465955,0.475779,0.005984,22.7667,0.033188,22.8058
adder_dcop_09.mtx,1813,1813,11251,0.006848,18.8044,0.041984,18.8532,0.002688,0.010624,0.472992,0.486304,0.00576,23.1273,0.031412,23.1644,0.007296,20.158,0.045536,20.2108,0.002848,0.00656,0.456256,0.465664,0.006496,23.014,0.03348,23.054
adder_dcop_10.mtx,1813,1813,11244,0.006496,18.8127,0.0417632,18.861,0.002528,0.012864,0.430784,0.446176,0.005504,23.2168,0.0315872,23.2539,0.007872,20.3167,0.0406848,20.3652,0.002848,0.00672,0.453373,0.462941,0.006208,22.7666,0.0334816,22.8063
adder_dcop_11.mtx,1813,1813,11255,0.006144,18.7735,0.0378752,18.8176,0.002528,0.0104,0.435584,0.448512,0.005952,22.8732,0.031244,22.9104,0.007648,20.3484,0.040544,20.3966,0.002624,0.006944,0.409693,0.419261,0.00608,22.7196,0.033204,22.7589
adder_dcop_12.mtx,1813,1813,11258,0.006112,18.9771,0.0377056,19.0209,0.00256,0.01136,0.423616,0.437536,0.006272,23.1814,0.0317856,23.2195,0.008,20.0866,0.0392224,20.1338,0.002624,0.007104,0.4052,0.414928,0.006656,23.1079,0.033776,23.1483
adder_dcop_13.mtx,1813,1813,11257,0.006112,18.8645,0.045968,18.9166,0.00256,0.010016,0.425571,0.438147,0.006496,23.2216,0.0315744,23.2597,0.00704,20.743,0.0392288,20.7892,0.00336,0.006112,0.41279,0.422262,0.006304,22.9692,0.033164,23.0087
adder_dcop_14.mtx,1813,1813,11258,0.00576,19.2171,0.045856,19.2687,0.002528,0.012032,0.425418,0.439978,0.005984,23.0073,0.0422624,23.0555,0.007584,19.685,0.0388128,19.7314,0.002624,0.007456,0.412442,0.422522,0.006656,23.025,0.033332,23.065
adder_dcop_15.mtx,1813,1813,11258,0.005888,18.7904,0.0460224,18.8423,0.002464,0.011072,0.421344,0.43488,0.005696,22.9694,0.0334862,23.0086,0.007168,20.5844,0.0387328,20.6303,0.002496,0.006816,0.38393,0.393242,0.006656,23.1149,0.03792,23.1595
adder_dcop_16.mtx,1813,1813,11258,0.006272,18.7913,0.044016,18.8416,0.002496,0.010848,0.42801,0.441354,0.005824,22.9128,0.0331104,22.9517,0.007552,20.9892,0.0391456,21.0359,0.002496,0.006464,0.38743,0.39639,0.006336,23.3099,0.0388338,23.3551
adder_dcop_17.mtx,1813,1813,11258,0.00672,18.6435,0.0436352,18.6939,0.00288,0.011488,0.505331,0.519699,0.005696,22.8569,0.0332096,22.8958,0.007488,21.6794,0.0390368,21.726,0.002496,0.006464,0.386685,0.395645,0.006272,22.9924,0.033852,23.0325
adder_dcop_18.mtx,1813,1813,11258,0.006528,19.2408,0.0464064,19.2937,0.003008,0.011904,0.434166,0.449078,0.005536,22.8996,0.03304,22.9382,0.007328,20.2346,0.0389888,20.2809,0.002496,0.00656,0.380835,0.389891,0.00592,23.176,0.03326,23.2152
adder_dcop_19.mtx,1813,1813,11257,0.006368,18.922,0.046096,18.9745,0.00256,0.010752,0.438982,0.452294,0.005984,23.1091,0.0314304,23.1465,0.007776,20.201,0.0388224,20.2476,0.002464,0.006944,0.38071,0.390118,0.005952,22.7995,0.0328818,22.8383
